    37.500,     53.963,    -54.035,     17.500,      0.080,    436.000,    183.000,     32.680,      0.000
    28.978,     54.168,    -54.205,     17.000,      0.290,   1139.000,    145.000,    418.923,      0.000
     9.468,     54.319,    -53.874,     17.000,      0.290,    814.000,    125.000,    573.457,      0.000
     5.511,     53.677,    -53.415,     19.500,      0.020,     16.000,      7.000,      2.960,      0.000
     5.116,     55.009,    -54.990,     22.000,      0.050,     35.000,     10.000,     13.156,      0.000
     4.677,     53.615,    -55.035,     21.500,      0.180,    275.000,     76.000,    205.133,      0.000
     4.588,     55.073,    -54.150,     21.000,      0.040,     31.000,      8.000,     12.350,      0.000
     4.552,     54.608,    -54.953,     19.000,      0.050,     40.000,     13.000,     18.109,      0.000
     4.368,     54.559,    -55.173,     22.500,      0.040,     23.000,      6.000,      8.260,      0.000
     4.319,     55.051,    -54.000,     21.500,      0.030,     17.000,      7.000,      5.141,      0.000
     4.271,     54.454,    -55.194,     16.000,      0.040,     21.000,      4.000,      7.360,      0.000
     4.232,     54.437,    -55.234,     16.500,      0.090,     66.000,     21.000,     37.817,      0.000
     4.208,     54.017,    -55.265,     24.000,      0.020,      9.000,      4.000,      1.715,      0.000
     4.196,     53.376,    -54.604,     18.000,      0.020,     11.000,      0.000,      2.520,      0.000
     4.075,     54.574,    -55.003,     17.500,      0.020,     10.000,      4.000,      2.237,      0.000
     4.071,     55.411,    -55.006,     22.000,      0.100,     83.000,     27.000,     51.750,      0.000
     3.930,     54.051,    -55.175,     16.500,      0.040,     20.000,      5.000,      7.550,      0.000
     3.874,     53.341,    -54.624,     19.000,      0.040,     27.000,      8.000,     11.970,      0.000
     3.330,     54.778,    -54.782,     20.500,      0.020,     10.000,      2.000,      3.147,      0.000
     3.328,     53.309,    -54.483,     22.000,      0.090,     69.000,     18.000,     45.461,      0.000
     3.326,     54.486,    -54.984,     20.500,      0.020,     10.000,      4.000,      3.152,      0.000
     3.216,     55.633,    -54.893,     16.000,      0.040,     17.000,      6.000,      7.370,      0.000
     3.194,     53.134,    -54.602,     16.000,      0.040,     17.000,      4.000,      7.420,      0.000
     3.101,     55.434,    -55.156,     16.000,      0.290,    409.000,    108.000,    350.066,      0.000
     3.012,     54.693,    -54.833,     19.500,      0.020,      9.000,      1.000,      3.067,      0.000
     2.889,     53.982,    -55.345,     17.000,      0.050,     24.000,      9.000,     12.969,      0.000
     2.825,     52.979,    -54.621,     16.500,      0.060,     29.000,     10.000,     16.830,      0.000
     2.803,     53.080,    -54.732,     17.500,      0.030,     12.000,      5.000,      5.136,      0.000
